start,end,category,count,title,content
2020-03-19,2020-04-18,보건복지,466,정신의료기관(폐쇄병동) 및 요양병원에 마스크를 지급해주세요.,"정신의료기관 및 요양시설에서 코로나 19 집단감염이 확산되고 있습니다. 
현실적으로 폐쇄병동에 입원해 있는 환자들, 요양시설에 입원해 있는 거동이 불편한 환자들은 마스크를 직접 구매할 수가 없습니다. 시설의 집단감염 예방 및 방지를 위해서는 의료기관 및 요양시설에 마스크 지급이 절실합니다. 이마저도 불가능하다면 약국에서 시행하는 것처럼 주민번호등록 후 의료기관 및 요양시설에서 직접 환자들에게 마스크를 판매할 수 있도록  조취를 취해주시기를 청원합니다. 절실합니다."
2020-03-19,2020-04-18,육아/교육,"1,470",긴급보육의 제한이 필요합니다.,"안녕하세요. 현재 한 어린이집의 보육교사로 근무하고 있습니다. 
지금 우리나라는 코로나19라는 바이러스로 혼란스러운 상태입니다.
혹여나하는 마음에 대중교통 하나 탈 때에도 긴장을 해야하고 아주 작은 헛기침 하나로도 주변인의 눈치를 보고 있습니다.

사회적 거리두기.. 재택근무가 가능한 회사들은 재택근무를 하고 당직을 정해 업무를 수행하고 있습니다. 물론 재택근무가 불가한 직종들은 모두 긴장감 속에 출퇴근을 하고 있겠지요.

저 역시도 이 혼란스러운 상황에서 아이들과 함께 철저하게 위생을 신경쓰며 최대한 안전하게 보낼 수 있도록 힘을 다하고 있습니다.

긴급보육이요, 물론 여의치않은 사정에도 불구하고 혹시나하는 마음에 가정보육을 하는 아이들도 있습니다. 맞벌이 가정의 경우 정말 아이를 맡길 곳이 없어 부득이하게, 피치못한 사정으로 보내시는 마음 이해합니다. 
정말 걱정되시겠지요.. 정말 마음 아프시겠지요... 그런 아이들을 보내는 부모님의 마음 전부를 이해한다고 말할 수는 없지만 저희도 안타까운 마음입니다.

하지만.. 누가 보아도 연차를 사용하시고 가정에 계심에도.. 아침 일찍부터 편한 차림으로 아이를 등원시키고 저녁이 다 되어서야 아침과 같은 편한 차림으로 아이를 하원시키러 오시는 어머님은 어떤 마음으로 이해를 해야 할까요?

가정에서 아이 돌보시기 힘드신마음 저희도 압니다. 저희는 그 아이들을 몇명이고 돌보고 있으니까요. 
바이러스가 퍼지지 않던 그 전에는 쉬시더라도 아이는 어린이집에 보내고 편안하게 쉬고 싶은 마음을 온전히 이해하였지만 지금은 이해하려해도 이해가 어렵습니다.

제재가 없는 긴급보육, 단체 생활을 피해야하는 지금 이 시국에 무슨 의미가 있습니까?

교사도 단체 생활이 무섭습니다. 그걸 무릅쓰고 소독을 일상화하여 기침하는 아이들, 코 흘리는 아이들 맨 손으로 닦아주고 보육하고 있습니다.
아이들을 모두 가정에서 돌보아달라는 이야기가 아닙니다. 가능한 상황에서는 가정에서 돌보아주세요.

교사뿐만이 아닌 아이들도 함께 하는 곳입니다.

긴급보육의 제한이 필요합니다."
2020-03-19,2020-04-18,성장동력,462,기존대출금리 1%대로 조정해주세요,"신규대출은 부동산대책과 대치되어 어렵다면 기존대출은 금리를 내려도 무방하다 생각됩니다
코로나19로 국민들은 임대료도 반으로 내리는 시국에 은행은 기존대출금리를 손도 대지 않고 있습니다
기준금리를 낮추더라도 은행에서 금리를 4%~7%를 받고 있으면 중소기업, 자영업자, 직장인은 체감할 수
없습니다.
정부에서 자금을 풀어 기업이 수혜를 보기까지 시간이 너무 소요되므로 가장 빠르고 실효성있는 대책은
은행이 금리를 낮추는 것입니다.
중소기업, 자영업자,직장인이 소득이 감소된 만큼은 아니더라도 이자지출 부담을 줄여주세요."
2020-03-19,2020-04-18,기타,641,"소상공인, 자영업자, 개인사업자 두번 울리는 코로나19 정책지원자금은  진정 누구를 위한 정책인가요?","﻿
대통령님...
제발 도와주십시요. 
지금 코로나19라는 국난을 맞이하여 전 국민이 하루하루를 살얼음판 위에서 살고있다고해도 과연이 아니라고 봅니다.

매일 매일 뉴스와 미디어 매체를 통해 쏟아지는 수많은 코로나 관련 소식과 정책들~

하루가 멀다하고 쓰러지는 소상공인, 자영업자들이 지금도 늘어나고 있는 이 실정에 쓰러지는 자영업자, 소상공인을 돕겠다고 쏟아지는 그 정책들은 과연 누구를 위한 정책일까요?

저역시 충남 보령에서 작은 건어물,젓갈 소매업을 하고 있는 보통의 대한민국 소상공인입니다.

우리나라 자영업자, 소상공인의 신용은 평균 몇등급인지 알고 계십니까?
모르긴 몰라도 대부분이 높게는 5등급에서 낮게는 최하 10등급까지가 주류를 이루고 있을겁니다.

지금 쏟아지는 정부의 저신용 소상공인을 위한 코로나 19정책에 한줄기 희망을 품고 신용재단을 비롯 소상공인센터에 신청을 하러가면, 아마 80%이상의 소상공인들은 심사를 받기도 전에 문앞에서 거절을 당하는게 현실입니다. 
거절사유는 최하 보증신용등급 6등급이하 거절, 기대출자 거절, 카드론, 카드현금서비스 사용자 거절,연체기록자거절등등......
자영업자, 소상공인들중 과연 신용등급이 5~6등급이내이면서 기 부채 없이 자신의 자산만으로 사업하는 소상공인이 얼마나 될까요?  그런 자격이라면 굳이 서민, 소상공인을 돕는 재단이나 기관이 아니더라도 은행권에서도 대출 충분히 받을수 있습니다.  먹고 살려고, 그래도 살아가겠다고 빚을 내서라도 성실히 갚아가면서 살아가던 대부분의 소상공인 자영업자들은  낮은 신용등급때문에, 기 대출건 때문에 이런 총체적 난국 속에서조차 배제되고 버림받습니다.

결국은 이 어려운 시기에도 도움의 손길이라며 정부에서  내밀어준 코로나19 정부지원 대출도 결론은 신용등급 1등급~5등급,6등급이내에 기대출,부채가 없어야하며, 카드론, 현금서비스 사용이 없어야하는 나름 신용있고 돈있는 업체에 또다시 돈 퍼주고 돈놀이 하는거라고 밖에 볼수가 없습니다.

정부자금, 정부에서 말로만 저신용소상공인, 저신용 자영업자을 돕기위해 보증하고 도움을 준다하지만, 실질적으로 진짜 저신용에 자금이 필요한 사람들은 도움을 받지 못하고 있는 실정입니다.  그럼 이대로 저신용 자영업자들은 그냥 파산하거나 신용불량자로 무너져서 죽으라는 겁니까???

저는 3월2일 신용보증재단에 방문해서 코로나 19 정책자금 신청을 하고 오늘 3월10일 전화를 받았습니다.

접수할때 신용등급 조회하고 7등급이라도 심사후 한도 나오면 가능성 있다고 우선 접수해주더니 , 오늘 전화와서는 신용등급이 7등급이라 낮고, 창업시 재단에 기대출1,000만원 지역특례로 받은거 잔금 800만원이 있어서 불가하다고 합니다. 미디어에선 특례로 7등급까지도 가능하다고 하더니.... 딱 짤라 안된다더군요.
정말  하늘이 무너지는 느낌입니다.

수많은 코로나 19 정책자금 기사를 보면 댓글란에 많은 사람들이 댓글을 남깁니다. 대부분 그림의 떡같이 정녕 절실하게 필요한 사람들에겐 모두 문턱에서 거절당하는 허울뿐인 정책에 많은 사람들이 같은 사연과 같은 문제로 한이 서리고 눈물이 날 정도로 희망고문만 한 이 거지같은 정책에 다들 울분을 터뜨립니다.

대출도 좋습니다.  공짜로 달라는것도 아니고 최소한 이런 시기에 보편적인 자영업자, 개인사업자들의 상황을 보고 거기에 맞는 정책자금등을 운용해달라고 말씀드립니다.

신용등급도 최하 8등급까지는 기대출이 있더라도 안정성있게 사업운용을 실제적으로 해왔고 또 기대출이나 기타 부채에 관해 3개월이내 연체없이 잘 상환하고 있는 사람들은 그래도 너무 빡빡하게 이것저것 따지지 말고 지금같은 상황에선 손을 내밀어 잡아주어야 하지 않을까요???
기대출이 높은 금리로 있다면, 대출조건으로 기 대출금을 저리인 코로나정부지원자금으로 대환하는 조건으로 해주고, 총 신청 대출금 중 우선 살아갈 수 있도록 긴급운영자금으로  1,000만원정도는 2~3일내에 대출완료해주고, 추후 신청금액중 그 금액을 제한 금액을 대출해준다면 정책지원이 더 수월하고 소상공인들에게도 더 와 닿을것 같습니다.

지금 이대로라면 대부분의 자영업자들은 거의 길거리로 내몰리고 결국 도산하고 맙니다.

예를 들어 기존의 정책자금인 햇살론 17같은 상품도 실질적으로 저신용자를 위한 상품이라고 내놓은 것이 이자가 17%인데, 이게 어찌 저신용자를 위한 상품인지.....

부채가 문제라면 이 기회에 소상공인들 매달 정기적으로 나가는 기존 부채의 이자, 생활비, 업체 운영자금등을 위해 최고 15%이상 고금리 부채부분은 보증재단보증대출로 등급별 차이를 두더라도 최고 2~8%대 대출로 대환할수 있도록 즉시 대출을 해주고, 그밖에 긴급자금으로 신청시 2~3일내로 1,000만원정도 선입금후, 추후 신청한 금액에서 선입금대출을 차감한 후 3~5주안에 추가 대출을 해준다면 지금 무너지고 있는 소상공인, 자영업자들도 신용도가 기본 1~2등급 상승하는 효과와 함께 매달 나가는 기 대출금의 원리금 납부도 한결 줄어들어 부담도 적어지고 , 또 여러가지 어려운 지금 현 상황에 대한 자금 압박도 줄어드는 효과를 볼수있을 겁니다.

존경하는 대통령님~~

진정 서민을 위하고, 저신용 자영업자들에게 앞으로 이 난관을 이겨내고, 다시 일어설 수 있게 도와주실거면, 지금 정책들의 면면을 다시한번 재 검토하시어 정말 소시민, 서민들, 저신용자이지만 열심히 삶의 목표를 향해 이사회의 구성원으로 살아가는 소상공인, 자영업자 들에게 맞는 정책을 실시해주십시요.

하루하루 대출금 승인을 기다리며 여기저기 내몰리며 2금융에 사채까지 끌어다 쓰며 버티는데.... 결국 이렇게 잔인하게 내팽겨쳐져서 심사는 커녕 통보식으로 거절을 받았을때 , 이 나라 수많은 자영업자, 소상공인들은 가슴에 한번 더 상처를 받고

희망을 잃어버리게 됩니다.

부익부, 빈익빈이란 말이 생각납니다. 지금같은 시점에도 있는 사람들은 뉴스에 나오는 한시적 예적금 상품4~5% 이자에 한두시간만에 적금 가입하느라 마감이 되었다고 합니다. 씁쓸하네요. 지금 자금 소상공인을 위한 자금으로 1~2%대 저리로 나오는거 결국 이런식이면 어차피 돈있고 자금력좋으니 신용도도 높은 업체들에게 또 나눠주는 겁니다. 신용등급 6등급까지 기대출적고, 카드현금서비스 안쓰는 사람들은 우리나라 어느 은행에서도 다 대출됩니다.

진짜 필요한 사람들, 절실한 사람들, 1금융 은행권에서 대출은 커녕 문전박대 당하는 소상공인들을 위한 자금으로 쓰이길 바래서 만든 저신용자 정부지원대출, 코로나19정책자금 이라면 문턱을 낮추고 제대로 정책을 베풀어주십시요.

지금 한도도 7천만원까지라고 했지만, 실상 소상공인들 7천만원까지 쓰는 사람 별로 없을겁니다.

평균 3천에서 5천정도를 생각하고 신청하고 ,나름 그 안에서 이 난관을 극복하면서 훗날 다시 일어서기 위한 발판으로 초석을 다지면서 미래의 복귀를 꿈꾸며 새 희망을 설계하고 있는데, 이런식으로 신청조차 받아주지도, 거절로 일관해 버린다면, 과연 이 시기가 지나가고 났을때, 온전한 형태로 남아있는 자영업, 소상공인들은 얼마나 될까요?

아마 지금보다 더 못한 신용불량자나 파산자, 폐업으로 줄줄이 도산하여 더 늪속으로 빠질지도 모릅니다.

국민의 소리에 귀 기울여주세여. 탁상 행정, 있는 사람들을 위한 보여주기식 정책이아니라 실질적으로 도움이 필요한 사람을 구호해줄수 있는 정책으로 실현시켜주십시요.

그 많은 정책자금 신청건만으로는 하루하루 예산초과라고 나오지만, 미디어를 통해 보니 실질적으로 대출까지 이어진 경우는 10%도 안된다고 나오더군요. 지원인력탓도 있겟지만, 그만큼 심사단계부터 가능업체의 기준자체를 높게 책정해서 대부분, 심사과정이나 상담전에 서류만으로 다 부결이 되니 그렇다고 합니다.

대통령님, 그리고 국민 여러분~~~

열심히 살고있었고, 또 앞으로도 이 나라에서 사람들과 부딪치며 살아가고, 또 사랑하는 가족과 함께 행복하게 살고싶습니다.

대한민국 의 힘이었던 자영업, 소상공인들이 다시 재기할수 있도록 부디 , 현실에 맞는 정책으로 도움을 주시길 간절히 바라며 이 글을 올립니다.

있는 사람을 위한 정부지원이 아닌 정말 열심히 살아가지만, 도움이 필요한 저신용자란 굴레에 갇혀 정부의 정책에서 벗어난 자영업자와 소상공인에게 힘이 될수있도록 지금의 코로나 19 피해 정책자금의 기준을 재정비해주시길 간절히 원하며 이글을 마칩니다.

﻿"
2020-03-19,2020-04-18,기타,"6,148",제 친구를 도와주세요,"영월에사는 한 여학생의 친구입니다 제 친구가 한살 아래인 후배 ***에게 성추행을 당했습니다 지금 가해자는 ****고등학교에있는 **부를  입학예정 중입니다 지금 피해자는 고소를 해서 조사 진행중에 있습니다 피해자는 지금 소문이 알려질까 걱정과 두려움에 떨고있는데 가해자는 평소 일상대로 시내를 돌아다니고 있습니다 가해자는 피해자에게 사과 한마디도 하지않고 가해자 부모님은 피해자 부모님께 제대로된 사과없이100만원대의 합의만을 원하고 있습니다 제 친구의 몸값이 과연 100만원으로 해경될수 있을까요? 제 친구는 지금 산부인과를 통해 처방받은 약을 복용하고 있습니다 이제 추후에 정신충격으로인한 상담센터를 다녀야 합니다 평소에 잘 웃고 항상 활기찼던 친구가 그날일을 겪고나서 충격이 컸는지  하루종일 울었습니다 친구는 부모님 외 그 누에게도 말을하지 못하였는데  친구들중에 맨처음으로 저한테 울면서 전화했습니다 제 친구를 위해 해줄수 있는것이 없어 이렇게 청원글을 올립니다 제친구를 위해 가해자가 올바른 처벌을 받을수 있도록 도와주세요

 [본 게시물의 일부 내용이 국민 청원 요건에 위배되어 관리자에 의해 수정되었습니다]"
2020-03-19,2020-04-18,육아/교육,"2,194",휴원에 동참한 학원에 대한 실질적인 보상책은 꼭 있어야 합니다. 최소한 학원에 대한 이미지라도 개선하고 싶습니다!,"안녕하세요.
저는 강사 1명과 함께 작은 학원을 꾸리고 있는 미술학원장입니다.
미술학원은 사교육이지만 학습을 과열시키는 학습과목이 아니라
예술사교육자로서 사명을 갖고 아이들에게 어떻게 하면 더 좋은 교육을 할 수 있을지 항상 고민하며 교육합니다.
다른 사교육에 비해 영세하지만 예술교육자로서의 자부심도 갖고 있습니다.

이번 코로나 사태로 인해 물론 학원이 휴원에 동참해야 하는 것은 잘 알고 있습니다.
휴원 권고가 시작되었을 때 전국의 거의 모든 미술학원은 휴원조치 내리고 휴원했습니다.
하지만 기약 없이 개학이 연기되고 있고
이제는 개학을 하더라도 학원이 얼마나 복귀하게 될지 가늠도 안 됩니다. 
예술교육은 영어, 수학 등 학과공부 과목처럼 필수 과목이 아니니까요.

학원장도 학원선생님들도 같은 국민이고 대한민국에서 아이들 키우고 있는 평범한 엄마, 아빠입니다.
당장 선생님들 월급이 없다면 신용불량자가 되고... 생활고에 힘들어지실 것이 불보듯 뻔합니다. 
그런데 교육부장관과 기사들은 발표 때마다 학원을 개인의 희생을 하며 휴원에 동참해주는 고마운 존재가 아니라, 관리 감독해야 하는 곳! 사리사욕을 채우는 나쁜 곳! 으로만 말하고 있습니다. 

유치원과 어린이집등 다 같은 교육사업자 들입니다. 
그들은 휴원을 해도 적어도 국가에서 지원금을 다 받고 있습니다. 
하지만 학원은 국가에서 지원을 단 하나도 받지 못하는 상황에서 강압적인 휴원 권고를 받고 있습니다. 개인사업이면서 사람들이 많이 모이는 노래방 피씨방 카페 등등도 강제로 휴업하라 하십니까? 
휴업하라 하실 때 휴업안하면 세무조사 하겠다고 으름장 놓으며 협박하나요? 
개인 사업자들이 다들 힘들다고 징징거리지 말라고 하시지만! 
휴업을 하라고! 문을 열지 말라고! 나라에서 지시하는 곳은 단 한군데도 없었습니다. 
학원에게는 그렇게 하고 있는 겁니다!!

전국의 미술학원은 공교육의 환경에선 할 수 없는 예술교육을 담당하고 있습니다. 
사리사욕이 아닌 정말 미술이 좋아서 그림 그리고, 아이들이 좋아서 사명을 갖고 일하고 있는 선생님이 대부분입니다. 결코 사교육장을 과열시키고 돈 벌기만을 위해서가 아닙니다. 수업비도 다른 사교육들에 비해 가장 저렴합니다. 
가장 많은 재료비를 쓰면서 교과서나 문제집에도 없는 다양한 수업들을 직접 다 계획하고 만들어가며 가장 밤 늦게까지 열심히 준비하고 노력합니다.

사교육을 담당하는 학원장들 모두를 마녀사냥 하듯 취급하지 마십시오.
학원운영자들도 떳떳하게 전공을 살려 열심히 일하며, 사명감을 가지고 아이들을 가르치고 있는 국민들입니다.

학원에 소속되어 있는 모든 선생님들 차량기사들...
전부 대한민국에서 아이들 키우며 살아가고 있는 평범한 국민 중 한 사람입니다.
여행업 항공업 및 지역 소상공인들은 지원해주신다고 합니다. 학원은 아예 문조차 못 열었습니다.
휴원에 동참한 학원에 대한 실질적인 보상책은 꼭 있어야 합니다.
최소한 학원에 대한 이미지라도 개선하고 싶습니다. 
억울한 누명을 쓰고 있는 것 같아 너무나 마음이 답답합니다.
꼭 해결책을 내어 주셨으면 좋겠습니다."
2020-03-19,2020-04-18,경제민주화,443,대기업의 횡포에 50인이 일자리를 잃게 되었습니다.(제발 한번만 읽어주세요 감히 부탁드립니다..),"안녕하세요. 저희는 (주)**산업입니다.
모든 국민분들께 감히 한 번만 정독 부탁을 드리고자 합니다..

 저희는 계란판을 제조하는 조그마한 1차산업의 제조공장입니다.
재판에서는 저희의 자료는 전혀 그 아무것도 인정이 되지 못하며, 단지 그 재판 내 담당인원인 제조분야 로스쿨 교수와 시공기업, 그리고 전관예우 출신의 대형로펌의 소견으로만 끌려다니며 전적으로 저희의 과실이기에 책임은 전적으로 우리회사에게 있다는 결정을 받은 상황입니다.

 저희는  현재 대기업과 그 소송대리 로펌의 힘의논리로써 약 17억가량의 터무니없는 시설설치 및 공사대금을 떠안게 되어 우리의 임직원들이 전부 일자리를 잃게 생기는 상황에 처해있습니다. 

 2017년부터 시행한 ESCO사업(에너지 절약형 시설에 선투자 후 에너지절감액으로 투자비를 회수하는 제도)로써 힘들어지는 제조원가의 상당액을 차지하는 건조비용의 주 원료인 LNG(=천연가스) 사용비를 줄이고 효율을 도모하고자 우드칩을 소각시켜 열을 내는 시설도입을 점점 살아남기 힘이 들어 제조업 시장에서 희망을 갖고 버틸 수 있다는 기대감에 시작했습니다.

 이후, 계약이 이뤄졌고 시설이 설치되었으며 계약 상 시운전 또한 진행을 하였습니다.
그러나, 시운전기간동안 열 효율 달성은 단 1회에 그쳤으며, 한달에 사용되는 LNG는 고스란히 유지되었음에도 불구하고  시공사는 이를 완성이 되었다고 주장을 하였습니다.
 그렇지만, 저희 직원들은 그래도 시공사와의 계약이 성공적으로 끝내길 원하는 방향으로 의견을 모아 노고를 들이붓는 심경으로 알아보고 살려보고자 구동을 했으나, 역시 그 효율은 물론이며 약속에 대한 지표의 변동은 없었습니다. 

 그러나, 대기업은 기계설치의 도의적인 상식인 계약에 기재된 안정적인 효율성을 유지해야 그 계약이 유효함을 날조하듯 기망하며, 그 성공했던 1회만을 가지고  시운전기간 막바지가 되던 시점에  시설비용 및 설치공사료(약 17억원)대금 청구를 시작했으며, 
 저희는 본 계약이 완성될 수 없다며 기계의 가동이력을 자료로 주장했으나, 대기업은 급작스럽게 원재료인 우드칩이 문제였다는 등 얼토당토 하지 않은 것으로 저희 과실로 돌리기 시작했습니다. 따라서, 저희는 문제를 삼은
우드칩에 대해 성분분석을 의뢰한 결과 문제가 없는 것으로 확인되었으며, 그 자료 또한 보관하고 있습니다.

 다시 한 번 언급드리지만, 대기업은 그렇게 에너지 효율사업이라 주장하던 우리회사에 설치했던 기계로 그 시운전기간동안 열 효율 달성은 단 1회에 그쳤으며, 반박을 하면 이러한 얼토당토 않은 주장을 하여 저희를 더욱 
난처하고 곤란하게 만들었습니다. 
 그러면서도  대기업은  그 1년간의 시간동안 1회를 달성한 것을 명분으로 모든 공정과 효율을 낼 수 있는 것으로 재판관계자들의 귀와 눈을 계속적으로 홀렸으며 재판을 통해 대금청구를 압박하며, 
 채권추심으로 우리회사의 통장을 압류하고, 우리 고객인 농장대표님들께도 제3채무자라는 오명을 씌우게 결정문을 받아 어디에도 설 수도 없게끔 만들고 있는 실정입니다. 

 마지막으로, 법적인 문제는 상식을 떠나 서류가 오감에 전관예우 출신의 유능한 분들께서도 본 서류를 검토하시고 ""**산업이 재판에서 지는게 이해가 안될 정도""이며, ""힘의 논리에서 부당한 처분을 당한 부분이 반드시 존재한다."" 라는 말씀을 하시면서 그 법적 서류 중 설치사업기간에 역임하신 대기업의 대표이사께서도 ""당시 문제가 있었다."" 라는 소견서를 저희에게 써주셨습니다.

 결정이 지난 후에, 아무런 대응도 하지 못하고 눈앞에서 조그만 1차산업인 저희 제조공장이 모든 통장이 압류되어가고 있으며,  50명 내외의 임직원 또한 일자리를 잃게 될 상황에 처해 있습니다.

  저희의 억울함을 국민여러분께서 부디 한 번만 정독을 해주시고 공감을 해주셨으면 하는 바램으로 적습니다.
 저희가 너무나 억울하지만 힘을 쓰지 못한 상황을 바라보시어 감히 공감을 구하고자 몇 자 적습니다.

부디 한 번만 천천히 진중히 읽어주시고 연락한번만 주시면 대단히 감사드리겠습니다..

 감사합니다.

 본 내용에 대해 저희는 금전적인 도움이 필요한 것이 아닙니다. 
말도 안되는 이 내용을 공감을 얻고 이슈를 키워 대기업의 갑질에 대해 맞설 수 있는 도움을 구하는 것이며 
이에 대해 어느 방면이라도 도움의 연락을 주시면 정말 대단히 감사드리겠습니다.

이**: ***.****.****

 [본 게시물의 일부 내용이 국민 청원 요건에 위배되어 관리자에 의해 수정되었습니다]"
2020-03-19,2020-04-18,일자리,402,상업고 학생들을 위한 방안을 마련해주세요,"지금 현재 코로나19로 인하여 개학이 자꾸만 연기가 되고 있는 상황입니다. 교육부에서는 수능을 보는 학생들을 위해 수능연기라는 방안을 내놓은 상태입니다만, 상업고 학생들을 위해서 내놓은 방안은 현재 없는 상태입니다. 3월 2일에 개학을 하고서 바로 취업준비를 시작했어야 했는데 개학이 연기가 되는 바람에 4월 6일에 개학을 함과 동시에 준비를 해야하는 상황이 되었습니다. 하지만 자격증 시험은 자꾸 취소가 되고 연기가 되며 새로운 자격증을 취득하기에 어려움을 겪고 있습니다. 그러니 부디 상업고 학생들이 취업에 어려움을 겪어 지금까지 한 노력들이 물거품이 되지 않도록 채용을 연기하는 것 등 구체적인 방안을 마련해주셨으면 합니다."
2020-03-19,2020-04-18,안전/환경,214,세종시 코로나19 공개방식 개선요청,"안녕하세요...세종에 사는 시민으로 세종시의 코로나19 확진자 공개에 있어서 답답하고 불아해서 이렇게 글을 쓰게 되었습니다..
세종시에 코로나19 확진자가 대구 신천지에 다녀온 교인 1명으로 계속 유지가 되다 천안 줌바댄스 워크숍에 다녀온 강사로 인해서 보건복지부 직원이 확진자로 나오면서 세종정부청사가 코로나19로 뚫리면 이제 세종시도 급속도로 퍼지겠구나 하며 불안해하고 있었습니다...근데 청사에서 보건복지부에 확진자가 나온게 아니고 갑자기 해양수산부에서 대량 확진자가 쏟아져 나왔지만 세종시에서는 해양수산부 직원들 간염원인도 제대로 공개를 않하고 확진자 동선 공개에 있어서도 세종시민들에게 퀴즈 내듯이 OO빵집OO식당OO마트 이렇게 공개를 공무원 감싸듯 해서 청원이 올라간 후 개선이 되었습니다.,
하지만 이젠 음성 판정 나왔던 해수부 직원이 양성 판정이 나왔는데 동선공개를 제대로 안하네요.
해수부 직원들은 선별진료소에서 검채 채추 후 함께 모여 식사도 하고 마트도 돌아다니고 세종 시민들의 안전을 위협 했는데 시장님은 해수부 직원들이 선별진료소 다녀오고 돌아다닌거에 대해 자가격리 위반이 아니냐는 시민들의 물음에 진료보고 같이 식사하는건 상관이 없는거라고 하시는데...일반적으로 요즘같은 시국에 선별진료소 갔다가 검사결과가 나오기 전이라고 버스타고 다니고 식당가서 함께 식사하고 하는게 기본적으로 개념이 없다고 봅니다..
공무원들은 자가격리 중이어도 수입원에 크게 차이가 없겠지만 지금 코로나19로 인해서 일자리 잃고 가계 경제에 크게 타격을 받는 시민들은 생각을 안하시나요? 부디 세종시의 코로나 19  공개방식에 있어서 공무원 감싸기 가 아닌 세종시민들의 안전을 위해서 해양수산부 확진자 대량 발생원인부터 시작해서 정확한 공개가 될수 있도록 도와주시길 부탁드립니다..세종시 밴드에 시민들의 댓글 내용을 좀 살펴보시고 개선이 되도록 도와주세요.."
2020-03-19,2020-04-18,육아/교육,642,우리아이가 교사에게 상처받지 않도록 도와주세요,"2020년 3월 17일 오후 3시 30분 경기도 양주시 ***동의 한 어린이집에서
담임교사가 아이를 학대한 증거를 아이가 하원 후 가정에서 5시 30분경에 확인하였습니다.
당시 아이의 양 팔에 손톱자국이 진하게 있었으며, 배변활동에 대해 부정적인 표현을 많이하였습니다. 이를 이상하게 여겨 112에 신고 후 cctv를 확보하여,
2020년 3월 18일 경찰관과 cctv를 확인하는 과정에서
담임교사가 제 아이 팔을 잡으며 앞, 뒤로 흔들고 억지로 일으킨 모습을 확인 할 수 있었습니다.
그 하루치 cctv를 확인하는데 문제점은 한 두가지가 아니였습니다.
기저귀를 가는데 기저귀 매트또한 사용하지 않았으며 교사는 손도  씻지 않고 아이 기저귀를 갈고
간 후에도 그 손으로 다른아이를 만지며 활동하였습니다.
cctv 확인하는 동안에도 아이들의 손을 단 한번도 씻기지 않았습니다.
코로나19때문에 위생에 예민한 지금 이 시국에요.
또한
보조교사도 아닌 담임교사가 아이와 상호작용은커녕 대화 한마디도 안하며 잘했다는 칭찬 리엑션도 보질 못하였습니다.
아이가 하원준비를 할 때면 물티슈로 아이얼굴을 걸레닦듯 닦으며 로션또한 여린피부에 자비없이 쳐 바르는 모습을 볼 수 있었습니다.
담임교사 두명이서 화장을 고치거나 미스트를 뿌리며 핸드폰을 만지는 장면만 수두룩하며
교사는 없고 아이들만 반에 있는경우도 있었습니다.

이것은 믿기지않게도 오후에 있었던 일중 일부에 불과합니다.

어머님 혹은 아버님들, 이것은 만 2세가 겪은 일입니다.
말도 못하며 아직 기저귀도 못 뗀 아이의 3월 일상 이였습니다.
둘째를 임신하게 되어 어쩔 수 없이 긴급보육을 보냈지만 
돌아온건 크나 큰 배신이였습니다.

부디 다시는 이런일이 발생하지 않도록 모두 힘써주셨으면 좋겠습니다.

 [본 게시물의 일부 내용이 국민 청원 요건에 위배되어 관리자에 의해 수정되었습니다]"
